,artist,danceability,energy,
Goody Two Shoes,Duck Sauce,0.774,0.901,
The Wire,HAIM,0.547,0.635,
Awake,Tycho,0.552,0.878,
Man I Need,Jagwar Ma,0.542,0.946,
N.O. Bounce,Big Freedia,0.695,0.94,
Now Is Not The Time,CHVRCHES,0.633,0.492,
No Rest For The Wicked,Lykke Li,0.312,0.445,
Holdin On,Flume,0.43,0.436,
Rocking Chair,The Districts,0.19,0.908,
Marriage,Gold Panda,0.312,0.907,
Ride On / Right On,Phosphorescent,0.539,0.582,
GodLovesUgly,Atmosphere,0.698,0.878,
New York City,Christopher Owens,0.476,0.818,
Moving to the Left,Woods,0.568,0.936,
All These Things That I've Done,The Killers,0.558,0.74,
Junk of the Heart (Happy),The Kooks,0.604,0.894,
When The Night Falls - feat. Solange Knowles,Chromeo,0.718,0.921,
Mercy,Kanye West,0.737,0.545,
Don't You Evah,Spoon,0.769,0.712,
We Exist,Arcade Fire,0.567,0.506,
Le Goudron (Edit),YACHT,0.817,0.588,
Double Bubble Trouble,M.I.A.,0.767,0.912,
Careless,Dusky,0.77,0.895,
Look at You,George McCrae,0.712,0.77,
How Did I Get Here,ODESZA,0.706,0.577,
Black Out Days,Phantogram,0.542,0.799,
Bang! Bang!,Joe Cuba,0.583,0.776,
Every 1's A Winner - Single Version,Hot Chocolate,0.727,0.548,
Unbound,Cathedrals,0.45,0.782,
Operate,ASTR,0.602,0.764,
Blood On The Leaves,Kanye West,0.415,0.681,
Come Save Me,Jagwar Ma,0.614,0.838,
Hannah Montana,Migos,0.901,0.744,
High School Lover,Cayucas,0.7,0.986,
They Come in Gold,Shabazz Palaces,0.583,0.843,
Tides of Neptune,Virgo,0.6,0.586,
Cocaine Model,ZHU,0.786,0.706,
Light House,Future Islands,0.512,0.821,
Pass The Dutchie,Musical Youth,0.791,0.664,
Words I Don't Remember,How To Dress Well,0.533,0.213,
I Would Die 4 U,Prince,0.731,0.75,
Bless My Soul,Nightmares On Wax,0.853,0.532,
Heaven And Hell Is On Earth,20th Century Steel Band,0.674,0.501,
Upper Echelon,Travis Scott,0.788,0.617,
Flying High (Part 1),Cloud One,0.745,0.857,
Go,Grimes,0.621,0.796,
Spill The Wine,Eric Burdon,0.818,0.528,
Got To Give It Up (Part 1),Marvin Gaye,0.856,0.874,
Never Gonna Give You Up,Barry White,0.614,0.857,
Sanctified,Rick Ross,0.729,0.527,
It #1,Ty Segall,0.42,0.776,
Dangerous (feat. Joywave),Big Data,0.757,0.578,
Counting,Autre Ne Veut,0.618,0.538,
You're the Best,Wet,0.657,0.393,
Estrelar,Marcos Valle,0.879,0.495,
Hold On We're Going Home,ASTR,0.496,0.54,
Uncle ACE,Blood Orange,0.742,0.945,
San Francisco,Foxygen,0.623,0.65,
Stay High - Habits Remix,Tove Lo,0.736,0.68,
Crosstown Traffic,Jimi Hendrix,0.482,0.96,
Ziggy Starfish (Anxiety Raps) [feat. Gold Panda],Open Mike Eagle,0.683,0.86,
Marijuana,Chrome Sparks,0.697,0.655,
Crown Violet - Bonus Track,Azizi Gibson,0.631,0.626,
Glad I Met You,D. Gookin,0.747,0.722,
Dancing In The Rain,Blu,0.569,0.74,
You Know I'm No Good - Ghostface UK Version,Amy Winehouse,0.674,0.832,
Kill V. Maim,Grimes,0.578,0.947,
Life Round Here,James Blake,0.586,0.658,
Sitting Pretty (feat. Wiz Khalifa),Ty Dolla $ign,0.756,0.44,
"Glyde 2nyte (feat. Leon Sylvers III, Leon Sylvers IV)",DÃ¢m-Funk,0.723,0.687,
Clouds Over the Pacific,James Pants,0.599,0.645,
Distant Land,Madlib,0.586,0.671,
Flashlight,Parliament,0.749,0.802,
Can You Get To That,Funkadelic,0.689,0.83,
Better,Banks,0.283,0.331,
Pony,Pretty Sister,0.413,0.676,
WTF (Where They From) [feat. Pharrell Williams],Missy Elliott,0.932,0.819,
Again,Fetty Wap,0.748,0.733,
Exchange,Bryson Tiller,0.53,0.433,
Sugar for the Queen,Bells Atlas,0.388,0.688,
Symphony of the Nymph,Ariel Pink's Haunted Graffiti,0.371,0.703,
Cool It Now,New Edition,0.875,0.532,
Jumpin' Jack Flash,Ananda Shankar,0.523,0.722,
River,Ibeyi,0.654,0.292,
You Know You Like It - Bondax Remix,AlunaGeorge,0.847,0.654,
Batuque (Jeremy Sole & Atropolis Remix),Dom La Nena,0.836,0.537,
Mykonos (feat. Fleet Foxes),Rhythms Del Mundo,0.413,0.555,
So Destroyed (channeling Rage Peace),Prince Rama,0.473,0.865,
Bitch,Allie X,0.609,0.641,
Locket,Kilo Kish,0.544,0.427,
Apathy,Shlohmo,0.379,0.674,
It All Feels Right,Washed Out,0.316,0.748,
Last Chance to Dance,Ekkah,0.857,0.484,
The Righteous One,The Orwells,0.389,0.884,
The New International Sound,GENER8ION,0.519,0.793,
Like Lust,MOVEMENT,0.478,0.6,
Rhythm of Devotion,Sisyphus,0.706,0.643,
Zion Gate Dub,King Tubby,0.736,0.539,
Enjoy The Silence - Remastered Version Original,Depeche Mode,0.651,0.77,
Fried Neck Bones And Some Home Fries - Dan The Automator Remix,Willie Bobo,0.869,0.658,
Archangel,Burial,0.624,0.852,
"Lone Wolf and Cub (feat. Herbie Hancock, Flying Lotus, Miguel Atwood-Ferguson & Mono/poly)",Thundercat,0.386,0.509,
Skyscraper,Elephant,0.234,0.747,
I Want You - Single Version,Marvin Gaye,0.525,0.797,
"The New International Sound, Pt. 2 (feat. M.I.A.)",GENER8ION,0.521,0.888,
Suede (feat. Anderson Paak & Knxwledge),NxWorries,0.719,0.697,
Bam Bam,Sister Nancy,0.722,0.605,
Alright,Logic,0.806,0.696,
Rainy Streets,Blue In Green,0.763,0.491,
Hazelton Trump,OB OBrien,0.736,0.68,
Free Stress Test,Professor Murder,0.651,0.824,
I'm Ya Dogg,Snoop Dogg,0.479,0.609,
Hot Dreams,Timber Timbre,0.535,0.374,
The Hills,The Weeknd,0.356,0.567,
"When They Fight, They Fight",Generationals,0.753,0.9,
The River,Son Little,0.694,0.789,
Rill Rill,Sleigh Bells,0.483,0.804,
Awake,SantÃ©,0.878,0.43,
Johnny Was,Bob Marley & The Wailers,0.703,0.412,
Monster Mash,"Bobby ""Boris"" Pickett",0.688,0.488,
Night on Bald Mountain,Modest Mussorgsky,0.316,0.308,
Feel The Volume,Jauz,0.725,0.918,
Water Me (feat. Leon Ware),Theophilus London,0.749,0.422,
Kathy Lee,Jessy Lanza,0.771,0.248,
Love Buzz,Shocking Blue,0.69,0.548,
Beautiful Life (feat. Action Bronson & Joey Bada$$),Statik Selektah,0.648,0.887,
Auditorium,Mos Def,0.403,0.742,
Disco Devil,"Lee ""Scratch"" Perry",0.664,0.727,
Frontier Psychiatrist,The Avalanches,0.704,0.894,
Had Ten Dollaz,Cherry Glazerr,0.554,0.749,
Sometimes,Heems,0.446,0.752,
VHS Sex,Com Truise,0.612,0.628,
Ambling Alp,Yeasayer,0.587,0.866,
All Day And All Of The Night,The Kinks,0.551,0.952,
Strychnine,The Sonics,0.331,0.957,
Who Is He (And What Is He to You?),Bill Withers,0.912,0.317,
Acamar,Frankey,0.697,0.905,
It Looks Like Love,Goody Goody,0.883,0.333,
Freak Connection - Edit,Cerrone,0.733,0.87,
"I'll Be Good - 12"" Mix",Rene & Angela,0.803,0.579,
Here I Come (Broader Than Broadway),Barrington Levy,0.698,0.515,
Swords,M.I.A.,0.677,0.905,
Hands On The Wheel,ScHoolboy Q,0.648,0.862,
Kush High,Eighty4 Fly,0.65,0.448,
MÃ©tele,Buscabulla,0.672,0.527,
What I Might Do,Ben Pearce,0.838,0.537,
Atomic Bomb,William Onyeabor,0.76,0.391,
World Restart,Kindness,0.646,0.621,
Swingin' Party,Kindness,0.808,0.687,
Antidote,Travis Scott,0.716,0.647,
Pieces,Tanlines,0.846,0.501,
Zombie,Fela Kuti,0.704,0.942,
Time-Out,Terror Train,0.305,0.827,
Let's Lovedance Tonight - Danny Krivit Re-edit - Dk Re-Edit,Gary's Gang,0.82,0.616,
I'm a Dildo,No Parents,0.185,0.89,
Do It (High School Dropout),Tayyib Ali,0.562,0.801,
Cadillac Girl,Only Real,0.565,0.86,
Today,Tom Scott,0.464,0.772,
"The Buzz (feat. Big K.R.I.T., Mataya & Young Tapz) - Bonus Track",Hermitude,0.576,0.602,
I Choose You,Willie Hutch,0.388,0.598,
The Way Youâ€™d Love Her,Mac Demarco,0.637,0.498,
Shooting Stars,Bag Raiders,0.636,0.72,
Bloom - Lane 8 Remix,ODESZA,0.688,0.587,
Pacifier,Young Thug,0.766,0.82,
Powerful,Major Lazer,0.402,0.794,
Unbreakable,Janet Jackson,0.599,0.524,
It's Strange (feat. K.Flay),Louis The Child,0.837,0.492,
Make Them Gold,CHVRCHES,0.612,0.858,
Don't Mean A Thing,Lapalux,0.63,0.671,
White Lies - The Soundmen Remix,Max Frost,0.614,0.858,
Sophia So Far,Goodnight Radio,0.446,0.89,
Nimble Girl,Hotel Eden,0.481,0.851,
Grinder,Gary Clark Jr.,0.293,0.792,
Choices (Yup),E-40,0.889,0.597,
Two Brothers,Hanni El Khatib,0.673,0.857,
Walkabout (W/ Noah Lennox),Atlas Sound,0.536,0.922,
Ferus Gallery,Allah-Las,0.575,0.691,
Everybody Loves The Sunshine,Roy Ayers Ubiquity,0.571,0.719,
Number One,Tuxedo,0.784,0.803,
Sick Beat,Kero Kero Bonito,0.746,0.682,
She a Go (feat. Spinn & Taso),DJ Rashad,0.444,0.498,
Lost You,Zeds Dead,0.736,0.882,
Norf Norf,Vince Staples,0.915,0.54,
Eleven 11: / 11,Rob Curly,0.75,0.835,
Buffalo,Toro y Moi,0.632,0.519,
Talk About,Les Sins,0.814,0.83,
Probably Nu It,Tree,0.893,0.378,
Mamacita,Travis Scott,0.823,0.768,
Star,Gary Clark Jr.,0.639,0.749,
Gooey,Glass Animals,0.49,0.376,
Walk On By - Single Version,Isaac Hayes,0.289,0.523,
Omen - Radio Edit,Disclosure,0.615,0.781,
Champagne Coast,Blood Orange,0.808,0.41,
Running Back To You,The Juan Maclean,0.775,0.528,
BKNY,Fat Tony,0.393,0.838,
Pains,Silk Rhodes,0.449,0.416,
Night Drive,Part Time,0.595,0.549,
"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,0.728,0.62,
Indian Food,Dumbo Gets Mad,0.561,0.896,
Childs Play (feat. Chance the Rapper),SZA,0.758,0.343,
Lets Start the Dance,Bohannon,0.782,0.938,
Rollerskate,Matias Aguayo,0.839,0.48,
Outro,M83,0.226,0.261,
Grindinâ€™ My Whole Life,HS87,0.763,0.623,
Slyd,!!!,0.858,0.717,
The Moment,Tame Impala,0.329,0.814,
R.I.C.O. (feat. Drake),Meek Mill,0.727,0.599,
Black And White,Parquet Courts,0.318,0.975,
Never Never Gonna Give Ya Up,Barry White,0.61,0.791,
Wait & See,Holy Ghost!,0.646,0.892,
Wait for a Minute,tUnE-yArDs,0.79,0.616,
5ft7,Tonstartssbandht,0.484,0.492,
200 Press,James Blake,0.785,0.573,
Huarache Lights,Hot Chip,0.715,0.64,
Leave House,Caribou,0.811,0.635,
"Sweet Power, Your Embrace",James Mason,0.597,0.721,
Hunger Of The Pine,alt-J,0.6,0.413,
Money Money,Horace Andy,0.811,0.461,
Symptom - Original Mix,Deapmash,0.797,0.961,
I'll Do a Little Bit More,The Olympics,0.799,0.657,
Who Is He And What Is He To You,Creative Source,0.769,0.514,
Bustin' Loose,Chuck Brown and the Soul Searchers,0.865,0.896,
I Wish,Stevie Wonder,0.826,0.751,
Baby,Donnie & Joe Emerson,0.508,0.325,
More Bounce To The Ounce,Zapp,0.85,0.818,
Outlaw,War,0.819,0.684,
Walking Into Sunshine,Central Line,0.896,0.482,
Pyramids,Frank Ocean,0.401,0.661,
Lazuli,Beach House,0.346,0.808,
Oblivion,Grimes,0.697,0.529,
Obedear,Purity Ring,0.605,0.732,
Flutes,Hot Chip,0.691,0.71,
Club Rez,Girl Unit,0.428,0.74,
Cry Like A Ghost,Passion Pit,0.555,0.612,
Chained,The xx,0.732,0.468,
Disparate Youth,Santigold,0.633,0.926,
Cheap Beer,FIDLAR,0.284,0.961,
Swimming Pools (Drank) - Extended Version,Kendrick Lamar,0.68,0.489,
Origins,Tennis,0.578,0.825,
Affection,Crystal Castles,0.658,0.835,
Comeback Kid,Sleigh Bells,0.385,0.902,
Losing You,Solange,0.735,0.798,
Grown Up,Danny Brown,0.635,0.766,
"It's Not My Fault, I'm Happy",Passion Pit,0.569,0.857,
How Deep Is Your Love?,The Rapture,0.469,0.823,
Are you... Can you... Were you? (Felt),Shabazz Palaces,0.502,0.632,
Second Song,TV On The Radio,0.597,0.798,
Mornin',Star Slinger,0.673,0.764,
Before,Washed Out,0.507,0.739,
Midnight City,M83,0.517,0.491,
Lonely Boy,The Black Keys,0.356,0.872,
Caffeinated Consciousness,TV On The Radio,0.563,0.924,
Wild Window,Fool's Gold,0.567,0.876,
Polish Girl,Neon Indian,0.633,0.884,
Calgary,Bon Iver,0.445,0.461,
Civilization,Justice,0.575,0.625,
Headlines,Drake,0.662,0.571,
Michael Jackson,Das Racist,0.573,0.946,
Need You Now,Cut Copy,0.605,0.755,
Abducted,Cults,0.374,0.937,
Gucci Gucci,Kreayshawn,0.714,0.924,
Eyes Be Closed,Washed Out,0.207,0.878,
Echoes,Washed Out,0.589,0.938,
The Daily Mail,Radiohead,0.36,0.362,
Civilization,Justice,0.516,0.66,
Punch Drunk Love,Teams vs. Star Slinger,0.579,0.767,
Principles,Benoit & Sergio,0.845,0.59,
Slow Peels,Com Truise,0.568,0.662,
Dead Wrong,Hanni El Khatib,0.716,0.724,
Do It Roger,Zapp,0.791,0.729,
Pharaohs (feat. Roses Gabor),SBTRKT,0.795,0.578,
No Fun,The Stooges,0.584,0.761,
Computer Love,Zapp,0.679,0.709,
Dutchie Courage,Star Slinger,0.646,0.947,
Osaka Loop Line,Discovery,0.704,0.49,
White Horse,Laid Back,0.812,0.554,
Abataka - Original Mix,Ida Engberg,0.76,0.971,
Danger! High Voltage (Soulchild Radio Mix),Electric Six,0.657,0.699,
Say Please,Teams vs. Star Slinger,0.731,0.812,
You Don't Love Me (No No No),Dawn Penn,0.805,0.596,
The Yes Strut,Teams vs. Star Slinger,0.718,0.844,
86 Carrot Gold,Teams vs. Star Slinger,0.597,0.746,
Close to Me,Teams vs. Star Slinger,0.698,0.923,
How Do You See Me Now,Zdar,0.823,0.811,
See Me Now,Cassius,0.819,0.777,
Every Freakin' - DJ Ayres remix,DJ Eleven,0.671,0.781,
Dance Our Way,DJ Eleven,0.872,0.565,
Flashing Lights,DJ Ayres,0.85,0.664,
The Daily Mail,Radiohead,0.36,0.362,
Bizness,tUnE-yArDs,0.76,0.76,
Long Heels Red Bottoms,Trina,0.874,0.492,
I Wanna Be Your Dog,The Stooges,0.527,0.871,
Jealousy,Martin Solveig,0.767,0.712,
Embody,Sebastian,0.328,0.827,
Love In Motion - feat. Mayer Hawthorne,Sebastian,0.702,0.773,
Save the World,Swedish House Mafia,0.654,0.734,
Myth,Beach House,0.448,0.733,
Ready 2 Go,Martin Solveig,0.542,0.854,
We Are Young - The Popopopops Remix,Juveniles,0.469,0.821,
Bop Gun (One Nation) - Radio Edit,Ice Cube,0.857,0.889,
La Funky,Destructo feat. Oliver,0.796,0.774,
In My Mind (Axwell Remix),Ivan Gough & Feenixpawl feat. Georgi Kay,0.67,0.897,
On'n'On - Ruined by Rick Rubin,Justice,0.697,0.68,
Don't Die,Killer Mike,0.352,0.807,
Van Vogue,Azealia Banks,0.687,0.799,
How Do You Do?,Hot Chip,0.666,0.811,
Night And Day,Hot Chip,0.764,0.768,
Don't Deny Your Heart,Hot Chip,0.677,0.86,
Focused - feat. Kid Cudi,Wale,0.735,0.801,
Neptune,Lemonade,0.286,0.694,
"Function - feat. YG, IAmSu & Problem",E-40,0.881,0.564,
Didn't You,Cloud Nothings,0.246,0.843,
Search Party,Small Black,0.515,0.876,
Mi Swing es Tropical,Nickodemus,0.816,0.894,
Stock Exchange,Miss Kittin,0.715,0.518,
Changes,Crazy P,0.829,0.637,
Play This (Also),J Rocc,0.444,0.978,
Obedear,Purity Ring,0.612,0.725,
Slow Down,Poolside,0.7,0.718,
I Don't Like,Chief Keef,0.754,0.877,
Sleeping Ute,Grizzly Bear,0.327,0.654,
Hands On the Wheel (feat. a$Ap Rocky),ScHoolboy Q,0.646,0.778,
The Kids Were Wrong,Memoryhouse,0.486,0.526,
Walk With Me,Memoryhouse,0.551,0.504,
Her Fantasy,Matthew Dear,0.586,0.806,
Der Kommissar,After The Fire,0.694,0.716,
Slow Down,Clyde Carson,0.817,0.528,
Genesis,Grimes,0.611,0.677,
About to Die,Dirty Projectors,0.727,0.657,
Best Night,The War On Drugs,0.485,0.793,
Brothers,The War On Drugs,0.52,0.872,
We Own The Sky,M83,0.399,0.761,
Chicken Half,Sugarman Three,0.582,0.903,
Two Of Hearts,Stacey Q,0.852,0.523,
The Perfect Kiss,New Order,0.623,0.806,
Can I Kick It?,A Tribe Called Quest,0.844,0.688,
Sure Thing,Miguel,0.684,0.603,
Kim & Jessie,M83,0.498,0.553,
Outro,M83,0.162,0.254,
We Are the People,Empire of the Sun,0.671,0.784,
Look At Where We Are,Hot Chip,0.792,0.387,
Don't Owe You a Thang,Gary Clark Jr.,0.417,0.944,
Money Trees,Kendrick Lamar,0.739,0.526,
Hood Pass Intact feat. MC Eiht,DÃ¢m-Funk,0.791,0.916,
Got No Money,FIDLAR,0.491,0.935,
Birthday Song,2 Chainz,0.748,0.586,
Oh,FIDLAR,0.351,0.931,
No Waves,FIDLAR,0.48,0.964,
Wake Bake Skate,FIDLAR,0.123,0.963,
No Ass,FIDLAR,0.401,0.972,
Black Out Stout,FIDLAR,0.228,0.886,
Plague,Crystal Castles,0.465,0.633,
Kerosene,Crystal Castles,0.438,0.539,
Wrath Of God,Crystal Castles,0.396,0.601,
Pale Flesh,Crystal Castles,0.596,0.628,
Past Lives,DIIV,0.276,0.766,
Pictures Of Matchstick Men,Status Quo,0.241,0.588,
Get Up,Craig Bratley,0.821,0.902,
Cloud Atlas End Title,Tom Tykwer,0.354,0.228,
Keep You,Wild Belle,0.638,0.897,
Anything New,Bibio,0.651,0.642,
